Timestamp,Length,Data (Hex),Data (ASCII),Data (Raw)
15:30:57.488,64,2a 2a 2a 2a 20 52 65 63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 49 44 3a 20 34 32 0d 0a 44 61 74 61 2f 50 61 79 6c 6f 61 64 3a 20 48 65 6c 6c 6f 20 66 72,"**** Receiver ******************
ID: 42
Data/Payload: Hello fr",b'**** Receiver ******************\r\nID: 42\r\nData/Payload: Hello fr'
15:30:57.551,64,6f 6d 20 45 53 50 33 32 20 28 54 72 61 6e 73 6d 69 74 74 65 72 29 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,"om ESP32 (Transmitter)
****************************************",b'om ESP32 (Transmitter)\r\n****************************************'
15:30:57.613,64,2a 2a 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 44 65 63 6f 64 69 6e 67 20 66 61 69 6c 65 64 21 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 44 65 63 6f 64 69 6e 67 20 66 61 69 6c 65 64 21,"**
Decoding...
Decoding failed!
Decoding...
Decoding failed!",b'**\r\nDecoding...\r\nDecoding failed!\r\nDecoding...\r\nDecoding failed!'
15:30:57.685,64,0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 44 65 63 6f 64 69 6e 67 20 66 61 69 6c 65 64 21 0d 0a 53 65 72 69 61 6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a 53 65 72 69 61,"Decoding...
Decoding failed!
Serial2 not available...
Seria",b'\r\nDecoding...\r\nDecoding failed!\r\nSerial2 not available...\r\nSeria'
15:30:57.749,64,6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a 53 65 72 69 61 6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 2a 2a 2a 2a,"l2 not available...
Serial2 not available...
Decoding...
****",b'l2 not available...\r\nSerial2 not available...\r\nDecoding...\r\n****'
15:30:57.813,64,2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 20 52 65 63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 49 44 3a 20 34 32 0d 0a 44 61 74 61 2f 50 61 79 6c 6f 61 64,"************** Receiver ******************
ID: 42
Data/Payload",b'************** Receiver ******************\r\nID: 42\r\nData/Payload'
15:30:57.887,64,3a 20 48 65 6c 6c 6f 20 66 72 6f 6d 20 45 53 50 33 32 20 28 54 72 61 6e 73 6d 69 74 74 65 72 29 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,": Hello from ESP32 (Transmitter)
******************************",b': Hello from ESP32 (Transmitter)\r\n******************************'
15:30:57.951,64,2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 20 52 65 63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a,"************
Decoding...
****************** Receiver *********",b'************\r\nDecoding...\r\n****************** Receiver *********'
15:30:58.014,64,2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 49 44 3a 20 34 32 0d 0a 44 61 74 61 2f 50 61 79 6c 6f 61 64 3a 20 48 65 6c 6c 6f 20 66 72 6f 6d 20 45 53 50 33 32 20 28 54 72 61 6e 73 6d 69 74 74 65 72 29 0d,"*********
ID: 42
Data/Payload: Hello from ESP32 (Transmitter)",b'*********\r\nID: 42\r\nData/Payload: Hello from ESP32 (Transmitter)\r'
15:30:58.087,64,0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 2a 2a 2a 2a 2a 2a,"******************************************
Decoding...
******",b'\n******************************************\r\nDecoding...\r\n******'
15:30:58.150,64,2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 20 52 65 63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 49 44 3a 20 34 32 0d 0a 44 61 74 61 2f 50 61 79 6c 6f 61 64 3a 20,"************ Receiver ******************
ID: 42
Data/Payload:",b'************ Receiver ******************\r\nID: 42\r\nData/Payload: '
15:30:58.221,64,48 65 6c 6c 6f 20 66 72 6f 6d 20 45 53 50 33 32 20 28 54 72 61 6e 73 6d 69 74 74 65 72 29 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,"Hello from ESP32 (Transmitter)
********************************",b'Hello from ESP32 (Transmitter)\r\n********************************'
15:30:58.283,64,2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 53 65 72 69 61 6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a 53 65 72 69 61 6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a,"**********
Serial2 not available...
Serial2 not available...",b'**********\r\nSerial2 not available...\r\nSerial2 not available...\r\n'
15:30:58.347,64,44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 20 52 65 63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 49 44 3a,"Decoding...
****************** Receiver ******************
ID:",b'Decoding...\r\n****************** Receiver ******************\r\nID:'
15:30:58.421,64,20 34 32 0d 0a 44 61 74 61 2f 50 61 79 6c 6f 61 64 3a 20 48 65 6c 6c 6f 20 66 72 6f 6d 20 45 53 50 33 32 20 28 54 72 61 6e 73 6d 69 74 74 65 72 29 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,"42
Data/Payload: Hello from ESP32 (Transmitter)
*************",b' 42\r\nData/Payload: Hello from ESP32 (Transmitter)\r\n*************'
15:30:58.485,64,2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 20 52,"*****************************
Decoding...
****************** R",b'*****************************\r\nDecoding...\r\n****************** R'
15:30:58.549,64,65 63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 49 44 3a 20 34 32 0d 0a 44 61 74 61 2f 50 61 79 6c 6f 61 64 3a 20 48 65 6c 6c 6f 20 66 72 6f 6d 20 45 53 50,"eceiver ******************
ID: 42
Data/Payload: Hello from ESP",b'eceiver ******************\r\nID: 42\r\nData/Payload: Hello from ESP'
15:30:58.622,64,33 32 20 28 54 72 61 6e 73 6d 69 74 74 65 72 29 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 44 65,"32 (Transmitter)
******************************************
De",b'32 (Transmitter)\r\n******************************************\r\nDe'
15:30:58.685,64,63 6f 64 69 6e 67 2e 2e 2e 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 20 52 65 63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 49 44 3a 20 34,"coding...
****************** Receiver ******************
ID: 4",b'coding...\r\n****************** Receiver ******************\r\nID: 4'
